,Name,Age,Height,Weight,NOC,Medal
49575,Ira Nelson Davenport,24.0,178.0,72.0,USA,0
49620,Ji David,29.0,187.0,80.0,TCH,0
49731,Howard Granville Davies,24.0,178.0,69.0,GBR,0
49821,Edgar Brian Davis,19.0,183.0,74.0,RSA,0
49840,Howard Davis,21.0,185.0,81.0,JAM,0
49895,Malachi John Davis,26.0,183.0,79.0,GBR,0
49906,Otis Crandall Davis,28.0,185.0,74.0,USA,Gold
50158,Gordon Raymond Day,24.0,185.0,74.0,RSA,0
50263,Fernando Pereira de Almeida,23.0,186.0,74.0,BRA,0
50642,Lodewijk De Clerck,24.0,176.0,67.0,BEL,0
51255,"duard ""Eddy"" De Leeuw",24.0,190.0,73.0,BEL,0
51445,Srgio Matias Franco de Menezes,23.0,180.0,78.0,BRA,0
51850,"Frederick Monroe ""Fred"" de Selding",20.0,175.0,68.0,USA,0
51866,Neil De Silva,26.0,175.0,75.0,TTO,0
51867,Neil De Silva,30.0,175.0,75.0,TTO,0
51921,Grson Andrade de Souza,25.0,176.0,74.0,BRA,0
51923,Grson Andrade de Souza,29.0,176.0,74.0,BRA,0
51942,Sidney Telles de Souza,25.0,183.0,65.0,BRA,0
52201,Marcell Dek Nagy,20.0,186.0,73.0,HUN,0
52339,Asfaw Deble,25.0,174.0,61.0,ETH,0
52577,Jacques Lopold Degats,22.0,180.0,76.0,FRA,0
52579,Jacques Lopold Degats,26.0,180.0,76.0,FRA,0
52840,Isidro del Prado,25.0,176.0,73.0,PHI,0
53208,Patrick Delice,20.0,184.0,77.0,TTO,0
53209,Patrick Delice,24.0,184.0,77.0,TTO,0
53451,Francis Demarthon,29.0,178.0,65.0,FRA,0
53802,Dadi Denis,27.0,185.0,78.0,HAI,0
54324,Bereket Desta Gebretsadik,22.0,180.0,63.0,ETH,0
54442,Istvn (Stefan von) Dvn,21.0,170.0,61.0,HUN,0
54800,Alfonso Di Guida,22.0,181.0,74.0,ITA,0
54930,Mohamed Diakit,22.0,176.0,69.0,GUI,0
54944,Boubacar Diallo,29.0,176.0,65.0,SEN,0
54987,Ousmane Diarra,24.0,185.0,73.0,SEN,0
55162,Rodobaldo Daz Arrambarry,26.0,178.0,71.0,CUB,0
55581,Samba Diye,27.0,185.0,75.0,SEN,0
55855,Euripidis Dimosthenous,23.0,180.0,70.0,CYP,0
55856,Euripidis Dimosthenous,27.0,180.0,70.0,CYP,0
55859,"Stylianos ""Stelios"" Dimotsios",29.0,183.0,81.0,GRE,0
56135,Yoyaga Dit Fatogoma Dit Coulibaly,25.0,172.0,67.0,CIV,0
56136,Yoyaga Dit Fatogoma Dit Coulibaly,29.0,172.0,67.0,CIV,0
56343,Leslie Djhone,23.0,187.0,76.0,FRA,0
56345,Leslie Djhone,27.0,187.0,76.0,FRA,0
56763,Kurt Wilhelm Doerry,21.0,179.0,73.0,GER,0
56778,Musa Dogon Yaro,23.0,172.0,70.0,NGR,0
56878,Paul P. Dolan,25.0,185.0,78.0,IRL,0
57055,"Bohdan ""Don"" Domansky",22.0,180.0,77.0,CAN,0
57056,"Bohdan ""Don"" Domansky",29.0,180.0,77.0,CAN,0
57744,Anderson Jorge Oliveira dos Santos,32.0,186.0,69.0,BRA,0
57802,"Osmiro ""Osmar"" Barbosa dos Santos",27.0,175.0,65.0,BRA,0
57822,Wilson David dos Santos,29.0,188.0,74.0,BRA,0
58059,Troy Douglas,25.0,172.0,76.0,BER,0
58060,Troy Douglas,29.0,172.0,76.0,BER,0
58062,Troy Douglas,33.0,172.0,76.0,BER,0
58731,Apisai Driu Baibai,21.0,181.0,70.0,FIJ,0
59131,Didier Dubois,23.0,178.0,68.0,FRA,0
59819,"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",21.0,184.0,77.0,GER,0
59889,Fitzroy Junior Dunkley,23.0,195.0,79.0,JAM,0
60562,"Patrick ""Pat"" Dwyer",22.0,186.0,81.0,AUS,0
60654,Maksim Sergeyevich Dyldin,21.0,175.0,68.0,RUS,0
60656,Maksim Sergeyevich Dyldin,25.0,175.0,68.0,RUS,0
60702,Juan Carlos Pablo Dyrzka,23.0,180.0,77.0,ARG,0
60705,Juan Carlos Pablo Dyrzka,27.0,180.0,77.0,ARG,0
60761,Iliya Dzhivondov,22.0,183.0,74.0,BUL,0
60903,"Benjamin Bangs ""Ben"" Eastman",21.0,185.0,70.0,USA,Silver
61222,Gary John Eddy,19.0,183.0,76.0,AUS,0
61397,"Clarence Sinclair ""Hec"" Edmundson",25.0,183.0,70.0,USA,0
61510,"Philip Aron ""Phil"" Edwards",20.0,176.0,64.0,CAN,0
61581,Kristijan Efremov,21.0,184.0,72.0,MKD,0
61620,Innocent Ejima Egbunike,22.0,174.0,65.0,NGR,0
61622,Innocent Ejima Egbunike,26.0,174.0,65.0,NGR,0
61624,Innocent Ejima Egbunike,30.0,174.0,65.0,NGR,0
61778,Anthony Egwunyenga,25.0,171.0,63.0,NGR,0
61800,Gustavo Ehlers Trstel,23.0,185.0,75.0,CHI,0
62571,Hassan El-Kashief,28.0,175.0,68.0,SUD,0
63385,Robert Simpson Emery,21.0,175.0,64.0,USA,0
63657,Nils Erik Engdahl,21.0,165.0,57.0,SWE,Bronze
63660,Nils Erik Engdahl,25.0,165.0,57.0,SWE,0
63883,Mohammad Reza Entezari,26.0,178.0,73.0,IRI,0
63896,Emilio Gustavo Bodjedi Envela Mahua,20.0,176.0,77.0,GEQ,0
63973,Orukpe Eraiyokan,22.0,180.0,73.0,NGR,0
65039,Hederson Alves Estefani,24.0,183.0,65.0,BRA,0
65374,Lee Edward Evans,21.0,180.0,78.0,USA,Gold
65466,"Daniel Joseph ""Danny Joe"" Everett",21.0,187.0,64.0,USA,Bronze
65468,"Daniel Joseph ""Danny Joe"" Everett",25.0,187.0,64.0,USA,0
65645,Hope Ezeigbo,22.0,201.0,72.0,NGR,0
65682,Sven Per Anders Faager,25.0,186.0,76.0,SWE,0
65819,Luigi Facelli,25.0,175.0,70.0,ITA,0
66287,Samba Fall,27.0,188.0,71.0,MTN,0
66733,Eugene Farrell,23.0,178.0,62.0,IRL,0
66957,Ali Faudet,18.0,185.0,65.0,CHA,0
66958,Ali Faudet,22.0,185.0,65.0,CHA,0
67075,Jean-Max Faustin,21.0,176.0,71.0,HAI,0
67191,Muhammad Fayyaz,21.0,172.0,60.0,PAK,0
67377,Ren Ernest Fger,24.0,176.0,68.0,FRA,0
68621,Pedro Ferrer Andino,18.0,168.0,61.0,PUR,0
68731,Gaston Lucien Fry,19.0,176.0,76.0,FRA,0
68733,Gaston Lucien Fry,24.0,176.0,76.0,FRA,0
69411,Milan Fillo,23.0,178.0,71.0,TCH,0
69593,Baptiste Firiam,17.0,173.0,60.0,VAN,0
69594,Baptiste Firiam,21.0,173.0,60.0,VAN,0
69908,Horatio May Fitch,23.0,175.0,68.0,USA,Silver
71098,Clifton Forbes,22.0,183.0,76.0,JAM,0
71167,Elvis A. Forde,24.0,180.0,74.0,BAR,0
71169,Elvis A. Forde,28.0,180.0,74.0,BAR,0
72055,Alleyne Jeremy Francique,28.0,188.0,75.0,GRN,0
72056,Alleyne Jeremy Francique,32.0,188.0,75.0,GRN,0
72073,Javon Francis,21.0,183.0,68.0,JAM,0
72557,Michael Bruce Frayne,26.0,179.0,66.0,AUS,0
72572,Herman Ronald Frazier,21.0,184.0,73.0,USA,Bronze
72781,"Ronald John ""Ron"" Freeman, III",21.0,183.0,82.0,USA,Bronze
73334,"William Duncan ""Bill"" Fritz",21.0,178.0,67.0,CAN,0
73674,Hortensio Fucil Herrera,25.0,178.0,76.0,VEN,0
73866,Takeshi Salvador Fujiwara Salazar,19.0,175.0,64.0,ESA,0
74804,Amadou Gakou,24.0,175.0,69.0,SEN,0
74805,Amadou Gakou,28.0,175.0,69.0,SEN,0
74807,Amadou Gakou,32.0,175.0,69.0,SEN,0
75058,Anton Sergeyevich Galkin,22.0,185.0,77.0,RUS,0
75205,"Thomas Heaton ""Tom"" Gallon",25.0,169.0,73.0,CAN,0
75256,Matteo Galvan,27.0,183.0,73.0,ITA,0
75852,Angel Garca Delgado,28.0,164.0,71.0,CUB,0
75854,Angel Garca Delgado,32.0,164.0,71.0,CUB,0
76079,Jos Garca Lorenzana,19.0,180.0,82.0,ESP,0
76372,Steven Gardiner,20.0,193.0,94.0,BAH,0
76504,Mark James Garner,23.0,174.0,69.0,AUS,0
77611,Hans-Gnter Geister,23.0,177.0,73.0,GER,0
77928,Winston Oudkerk George,25.0,167.0,66.0,GUY,0
77929,Winston Oudkerk George,29.0,167.0,66.0,GUY,0
78647,Mohammad Hossein Ghafourizadeh,21.0,174.0,65.0,IRI,0
78866,Omar Ghizlat,18.0,175.0,65.0,MAR,0
78867,Omar Ghizlat,21.0,175.0,65.0,MAR,0
79465,David Gillick,25.0,195.0,85.0,IRL,0
80006,Charles Gitonga,24.0,175.0,65.0,KEN,0
80212,Clayton M. Glasgow,23.0,169.0,66.0,GUY,0
80492,Akossi Gnalo,28.0,180.0,70.0,TOG,0
80495,Mathieu Gnanligo Fousseni,21.0,180.0,70.0,BEN,0
80496,Mathieu Gnanligo Fousseni,25.0,180.0,70.0,BEN,0
80968,George Augustus Golding,26.0,187.0,80.0,AUS,0
81177,Dmitry Anatolyevich Golovastov,29.0,187.0,78.0,RUS,0
81654,Jermaine Gonzales,29.0,185.0,82.0,JAM,0
82299,James Allen Gordon,23.0,180.0,70.0,USA,0
82306,Lalonde Keida Gordon,23.0,179.0,83.0,TTO,Bronze
82308,Lalonde Keida Gordon,27.0,179.0,83.0,TTO,0
82577,Richard Kevan Gosper,22.0,188.0,77.0,AUS,0
82579,Richard Kevan Gosper,26.0,188.0,77.0,AUS,0
82733,Rudolf Gtz,25.0,178.0,67.0,CZE,0
82767,Jean-Pierre Goudeau,19.0,183.0,75.0,FRA,0
82889,"Anastasios ""Tasos"" Gousis",21.0,177.0,75.0,GRE,0
82922,John Goville,26.0,173.0,61.0,UGA,0
83070,Konstantin Nikolayevich Grachov,29.0,166.0,63.0,URS,0
83072,Konstantin Nikolayevich Grachov,33.0,166.0,63.0,URS,0
83241,"Timothy Joseph Michael ""Tim"" Graham",25.0,178.0,65.0,GBR,0
83287,Pedro Antonio Grajales Escobar,24.0,172.0,72.0,COL,0
83289,Pedro Antonio Grajales Escobar,28.0,172.0,72.0,COL,0
