,Name,Age,Height,Weight,NOC,Medal
120405,David Kitur,29.0,183.0,73.0,KEN,0
120407,Samson Kitur,26.0,186.0,77.0,KEN,Bronze
120409,Samson Kitur,30.0,186.0,77.0,KEN,0
120645,Marcel Klarenbeek,20.0,182.0,76.0,NED,0
121100,Piotr Arkadiusz Klimczak,24.0,182.0,72.0,POL,0
121391,Ireneusz Kluczek,24.0,177.0,68.0,POL,0
121436,Rudolf Klupsch,31.0,173.0,69.0,GER,0
121581,Karel Knnick,28.0,176.0,72.0,TCH,0
121905,Mykhailo Mykolaiovych Knysh,24.0,179.0,79.0,UKR,0
122887,Karel Kol,24.0,182.0,73.0,TCH,0
124912,Dmitry Alekseyevich Kosov,23.0,187.0,80.0,EUN,0
125940,Jerzy Wadysaw Kowalski,23.0,175.0,70.0,POL,0
127074,Tambusamy Krishnan,28.0,180.0,67.0,MAS,0
128130,Johnson Kubisa,28.0,173.0,73.0,BOT,0
128165,Hiroyoshi Kubota,23.0,168.0,53.0,JPN,0
128483,Jrgen Khl,21.0,187.0,76.0,GER,0
128670,Markku Juhani Kukkoaho,25.0,189.0,82.0,FIN,0
128672,Markku Juhani Kukkoaho,29.0,189.0,82.0,FIN,0
128994,Kun Min-Mu,26.0,168.0,60.0,TPE,0
129277,Jassim Karim Kuraishi,22.0,175.0,68.0,IRQ,0
129280,Jassim Karim Kuraishi,26.0,175.0,68.0,IRQ,0
130195,Moses Kyeswa,26.0,178.0,68.0,UGA,0
130313,Marcus la Grange,26.0,186.0,84.0,RSA,0
130333,Sofine Labidi,20.0,186.0,69.0,TUN,0
130334,Sofine Labidi,24.0,186.0,69.0,TUN,0
130670,Mark Daniel Ladbrook,24.0,188.0,75.0,AUS,0
130684,Du'aine Ladejo (Thorne-),25.0,187.0,84.0,GBR,0
130705,Peter Laeng,22.0,180.0,75.0,SUI,0
130793,Sven Lftman,20.0,183.0,80.0,SWE,0
131503,Marcel Lambrechts,29.0,178.0,75.0,BEL,0
132289,Mario Lanzi,21.0,180.0,76.0,ITA,0
132539,Ricardo Larios,23.0,169.0,54.0,NCA,0
132613,"Michael Denny ""Mike"" Larrabee",30.0,186.0,77.0,USA,Gold
132948,Carl Rune Larsson,24.0,178.0,70.0,SWE,0
132971,Gumundur Lrusson,26.0,182.0,72.0,ISL,0
134188,"James Gilbert ""Jim"" Lea, Jr.",24.0,183.0,68.0,USA,0
135875,Leberecht Julius Erich Ernst Lehmann,21.0,170.0,62.0,GER,0
136280,Jnis Leitis,23.0,190.0,75.0,LAT,0
136443,Cephas Lemba,22.0,190.0,77.0,ZAM,0
136617,Deon Christopher Lendore,19.0,179.0,75.0,TTO,0
136619,Deon Christopher Lendore,23.0,179.0,75.0,TTO,0
137155,Yoandys Alberto Lescay Prado,22.0,181.0,77.0,CUB,0
137574,Nigel Levine,23.0,176.0,72.0,GBR,0
137756,"Leslie Charles ""Les"" Lewis",23.0,174.0,67.0,GBR,0
137758,"Leslie Charles ""Les"" Lewis",27.0,174.0,67.0,GBR,0
137776,"Raymond Gray ""Ray"" Lewis",21.0,186.0,74.0,CAN,0
137783,"Steven Earl ""Steve"" Lewis",19.0,188.0,84.0,USA,Gold
137785,"Steven Earl ""Steve"" Lewis",23.0,188.0,84.0,USA,Silver
138271,Li Po-Ting,23.0,179.0,67.0,TPE,0
138681,Claudio Licciardello,22.0,186.0,73.0,ITA,0
138750,Eric Henry Liddell,22.0,173.0,68.0,GBR,Gold
138842,Rico Lieder,20.0,186.0,67.0,GER,0
138948,"James Davies ""Jim"" Lightbody",24.0,173.0,61.0,USA,0
139250,Marshall Nielsen Limon,20.0,184.0,75.0,CAN,0
139326,Lin Kuang-Liang,19.0,175.0,65.0,TPE,0
139507,"Edward Ferdinand Jacob ""Ed"" Lindberg",25.0,177.0,76.0,USA,Bronze
139786,Eric Lindholm,21.0,188.0,78.0,SWE,0
140359,Davison Lishebo,29.0,184.0,73.0,ZAM,0
140502,Yury Nikolayevich Lituyev,27.0,183.0,78.0,URS,0
140754,Liu Xiaosheng,20.0,190.0,77.0,CHN,0
141102,Hector Llatser,26.0,190.0,80.0,FRA,0
141158,Chris Joey Lloyd,23.0,173.0,68.0,DMA,0
141214,Jos Gerardo L'Oficial Olivero,20.0,180.0,77.0,DOM,0
141277,"John Wilfrid ""Johnny"" Loaring",20.0,178.0,74.0,CAN,0
141565,Leonardo Loforte,27.0,174.0,64.0,MOZ,0
141797,Filipe Graca Lomb,28.0,186.0,86.0,POR,0
141840,Vincenzo Lombardo,20.0,180.0,78.0,ITA,0
141932,"Maxwell Warburn ""Maxey"" Long",21.0,182.0,75.0,USA,Gold
142160,Alberto Lpez Davila,21.0,175.0,68.0,GUA,0
142419,Ren Lpez Escobar,21.0,190.0,76.0,ESA,0
142450,Yeimer Lpez Garca,21.0,185.0,78.0,CUB,0
142811,Malik Khaled Ahmed Louahla,22.0,176.0,75.0,ALG,0
142854,Richard Louis,20.0,181.0,70.0,BAR,0
142856,Richard Louis,24.0,181.0,70.0,BAR,0
143079,"Jonnie Eduardo ""Jonni"" Lowe Henrquez",24.0,172.0,70.0,HON,0
143901,Luis Ral Luna Lemus,20.0,195.0,89.0,VEN,0
144122,Kurt Anders Valdemar Lundquist,22.0,190.0,75.0,SWE,0
144207,Emilio Lunghi,25.0,179.0,70.0,ITA,0
144217,J. Jacques Lunis,25.0,181.0,72.0,FRA,0
144316,Charles Lupiya,27.0,172.0,76.0,ZAM,0
144515,"James Ellis ""Jimmy"" LuValle",23.0,185.0,73.0,USA,Bronze
145259,Ismail Maev,28.0,167.0,61.0,YUG,0
145276,Gerard Zygfryd Mach,25.0,175.0,71.0,POL,0
145564,Ross MacKenzie,22.0,183.0,72.0,CAN,0
145617,Robert Makowiak,30.0,180.0,78.0,POL,0
145638,Brian MacLaren,28.0,180.0,75.0,CAN,0
146058,Christopher Madzokere,30.0,177.0,72.0,ZIM,0
146224,Ramon Magarios Duro,20.0,182.0,75.0,ESP,0
146484,Bachir Mahamat,19.0,186.0,59.0,CHA,0
146816,Nicodemus Maipampe,30.0,168.0,63.0,ZAM,0
147041,Mamman Makama,21.0,174.0,72.0,NGR,0
147045,Mdard Makanga,25.0,180.0,75.0,CGO,0
147328,Isaac Makwala,25.0,185.0,78.0,BOT,0
147329,Isaac Makwala,29.0,185.0,78.0,BOT,0
147451,Vctor Maldonado Flores,25.0,183.0,63.0,VEN,0
147559,"Georges Dsir ""Go"" Malfait",27.0,169.0,60.0,FRA,0
147562,"Georges Dsir ""Go"" Malfait",29.0,169.0,60.0,FRA,0
147564,"Georges Dsir ""Go"" Malfait",33.0,169.0,60.0,FRA,0
147576,Arnaud Malherbe,23.0,187.0,73.0,RSA,0
147578,Arnaud Malherbe,27.0,187.0,73.0,RSA,0
147660,Stefano Malinverni,21.0,180.0,73.0,ITA,0
148353,Flix Ivn Mangual Guilbe,24.0,177.0,66.0,PUR,0
148458,Horst Mann,29.0,178.0,67.0,GER,0
149208,Marcin Waldemar Marciniszyn,29.0,185.0,77.0,POL,0
149578,Evans Marie,21.0,176.0,73.0,SEY,0
149875,Viktor Fyodorovich Markin,23.0,183.0,73.0,URS,Gold
150728,Roxbert Martin,26.0,178.0,66.0,JAM,0
150762,Jean-Paul Marc Pierre Martin du Gard,29.0,182.0,75.0,FRA,0
150859,Carlos Felipe Martnez Diosa,23.0,176.0,70.0,CUB,0
150905,Flix Adolfo Martnez Cuevas,23.0,183.0,75.0,PUR,0
151634,Gakologelwang Lesiba Masheto,23.0,178.0,60.0,BOT,0
151688,Pavel Maslk,21.0,176.0,66.0,CZE,0
151689,Pavel Maslk,25.0,176.0,66.0,CZE,0
151810,Yousef Ahmed Al-Masrahi,24.0,176.0,76.0,KSA,0
151828,"James ""Jimmy"" Massallay",27.0,175.0,60.0,SLE,0
152262,Michael Walter Mathieu,24.0,178.0,76.0,BAH,0
152395,Junkichi Matoba,21.0,168.0,65.0,JPN,0
152513,Ollie Genoa Matson,22.0,188.0,89.0,USA,Bronze
152814,"Vincent Edward ""Vince"" Matthews",24.0,187.0,81.0,USA,Gold
153215,Sunday Maweni,29.0,190.0,85.0,BOT,0
154301,Michael L. McDonald,21.0,183.0,85.0,JAM,0
154311,Rusheen McDonald,19.0,175.0,81.0,JAM,0
154312,Rusheen McDonald,23.0,175.0,81.0,JAM,0
154404,"Robert Malcolm ""Bob"" McFarlane",21.0,178.0,75.0,CAN,0
154406,Danny D. McFarlane,28.0,183.0,75.0,JAM,0
154642,Troy McIntosh,23.0,178.0,73.0,BAH,0
154644,Troy McIntosh,27.0,178.0,73.0,BAH,0
154680,Antonio Ricardo McKay,20.0,183.0,77.0,USA,Bronze
154737,"Herbert Henry ""Herb"" McKenley",26.0,185.0,72.0,JAM,Silver
154740,"Herbert Henry ""Herb"" McKenley",30.0,185.0,72.0,JAM,Silver
155010,Michael Adrian McLean,22.0,185.0,77.0,CAN,0
155272,Tony McQuay,22.0,181.0,72.0,USA,0
155295,Fanahan McSweeney,25.0,183.0,76.0,IRL,0
156009,Didier Meja Esquivel,23.0,172.0,65.0,MEX,0
156790,Francisco Mauricio Menocal,22.0,175.0,70.0,NCA,0
156792,Francisco Mauricio Menocal,26.0,175.0,70.0,NCA,0
157021,"James Edwin ""Ted"" Meredith",20.0,175.0,71.0,USA,0
157024,"James Edwin ""Ted"" Meredith",28.0,175.0,71.0,USA,0
157235,Ned Alvin Merriam,23.0,178.0,61.0,USA,0
157262,LaShawn Merritt,22.0,191.0,86.0,USA,Gold
157264,LaShawn Merritt,26.0,191.0,86.0,USA,0
157266,LaShawn Merritt,30.0,191.0,86.0,USA,Bronze
157277,Nafi Ahmed Hamed Mersal,24.0,180.0,86.0,EGY,0
157566,Adrian Peter Metcalfe,22.0,188.0,87.0,GBR,0
157667,Karl-Adolf Metzner,22.0,180.0,80.0,GER,0
157669,Karl-Adolf Metzner,26.0,180.0,80.0,GER,0
158881,Jean ric Milazar,25.0,190.0,80.0,MRI,0
158883,Jean ric Milazar,29.0,190.0,80.0,MRI,0
158884,Jean ric Milazar,33.0,190.0,80.0,MRI,0
158890,Joel Milburn,22.0,182.0,75.0,AUS,0
158908,"Sven Osvald ""Ossi"" Mildh",22.0,180.0,82.5,FIN,0
159221,Leslie Osborne Miller,20.0,191.0,77.0,BAH,0
159241,Ramon Salomon Miller,25.0,180.0,67.0,BAH,0
159527,Mohamed Hossain Milzer,21.0,174.0,65.0,BAN,0
159774,Gary John Minihan,22.0,175.0,70.0,AUS,0
160104,Oleg Olegovich Mishukov,23.0,183.0,71.0,RUS,0
160285,"Richard Charles ""Rick"" Mitchell",21.0,183.0,71.0,AUS,0
160287,"Richard Charles ""Rick"" Mitchell",25.0,183.0,71.0,AUS,Silver
160997,Ato Modibo-Stephens,21.0,188.0,78.0,TTO,0
160999,Ato Modibo-Stephens,25.0,188.0,78.0,TTO,0
161000,Ato Modibo-Stephens,29.0,188.0,78.0,TTO,0
161090,Roger Moens,22.0,175.0,70.0,BEL,0
161279,Abdulla Mohamed Hussein,16.0,170.0,54.0,SOM,0
161334,Henry Mahlomola Mohoanyane,28.0,175.0,67.0,LES,0
161456,Hendrik Mokganyetsi,20.0,182.0,70.0,RSA,0
161458,Hendrik Mokganyetsi,25.0,182.0,70.0,RSA,0
161557,California Molefe,24.0,172.0,62.0,BOT,0
161848,Tams Molnr,24.0,183.0,75.0,HUN,0
161955,Avard Moncur,21.0,193.0,87.0,BAH,0
162029,Carlos Monges Caldera,22.0,180.0,66.0,MEX,0
162517,Jude Monye,22.0,188.0,79.0,NGR,0
162518,Jude Monye,26.0,188.0,79.0,NGR,0
163765,Mpho Jonas Morobe,29.0,172.0,60.0,LES,0
163878,Devon Morris,23.0,180.0,75.0,JAM,0
163880,Devon Morris,27.0,180.0,75.0,JAM,0
163882,Devon Morris,31.0,180.0,75.0,JAM,0
163894,Ian Morris,26.0,175.0,65.0,TTO,0
163895,Ian Morris,30.0,175.0,65.0,TTO,0
164189,Charles Moses,30.0,189.0,72.0,GHA,0
164280,Geiner Alonso Mosquera Becerra,24.0,187.0,75.0,COL,0
164351,Jonas Matas Motiejnas,25.0,188.0,77.0,LTU,0
164404,Wendell Adrian Mottley,23.0,173.0,72.0,TTO,Silver
164493,Fay R. Moulton,30.0,175.0,70.0,USA,0
164916,William Msiska,24.0,174.0,69.0,MAW,0
165216,Phillip Mukomana,26.0,188.0,80.0,ZIM,0
165404,Helmar Mller,29.0,180.0,74.0,FRG,0
165568,Wolfgang Mller,25.0,180.0,69.0,GDR,0
165682,Vincent Mumo Kiilu,22.0,163.0,56.0,KEN,0
165683,Vincent Mumo Kiilu,26.0,163.0,56.0,KEN,0
166335,Miles Murphy,21.0,185.0,75.0,AUS,0
166625,Enock Musonda,22.0,164.0,55.0,ZAM,0
166856,Agripa Mwausegha,28.0,174.0,66.0,MAW,0
168030,Jean-Claude Nallet,21.0,187.0,85.0,FRA,0
169422,Bryshon Lorenzo Nellum,23.0,183.0,80.0,USA,0
170078,Otto Neumann,25.0,178.0,71.0,GER,0
170211,David Neville,24.0,193.0,77.0,USA,Bronze
170299,"Frederick Vaughn ""Fred"" Newhouse",27.0,175.0,68.0,USA,Silver
170878,Christian Nicolau,21.0,174.0,65.0,FRA,0
172333,Sunder Lamont Nix,22.0,175.0,65.0,USA,0
172425,Elijah Nkala,24.0,165.0,69.0,ZIM,0
172450,Thophile Clorico Nkounkou,20.0,176.0,74.0,CGO,0
172466,Thomas N'Ma,28.0,175.0,64.0,LBR,0
173046,Carlos Noroa Gutirrez,19.0,172.0,70.0,CUB,0
173748,Camera Ntereke,28.0,183.0,72.0,BOT,0
173766,Georg Nckles,24.0,181.0,71.0,FRG,0
174011,Andrea Nuti,25.0,185.0,75.0,ITA,0
174072,Hezekiah Munyoro Nyamau,25.0,170.0,68.0,KEN,0
174074,Hezekiah Munyoro Nyamau,29.0,170.0,68.0,KEN,0
174334,Young Talkmore Nyongani,20.0,178.0,75.0,ZIM,0
174335,Young Talkmore Nyongani,24.0,178.0,75.0,ZIM,0
174987,Kennedy Ochieng,24.0,183.0,73.0,KEN,0
174989,Kennedy Ochieng,28.0,183.0,73.0,KEN,0
175467,Francis Ogola,19.0,183.0,74.0,UGA,0
175468,Francis Ogola,23.0,183.0,74.0,UGA,0
175803,Pushpa Raj Ojha,24.0,177.0,58.0,NEP,0
175806,Robert Ojo,31.0,180.0,70.0,NGR,0
175914,Ibrahim Okash Omar,19.0,180.0,65.0,SOM,0
176031,"Michael ""Mike"" Okot",25.0,173.0,60.0,UGA,0
176265,Clarence Winston Oldfield,20.0,178.0,59.0,RSA,0
176267,Clarence Winston Oldfield,24.0,178.0,59.0,RSA,0
176493,"Carl Oliver, Jr.",27.0,178.0,80.0,BAH,0
177089,Stefan Odak,19.0,175.0,64.0,POL,0
177157,Rafa Omelko,27.0,195.0,75.0,POL,0
177192,Amos Omolo,27.0,178.0,74.0,UGA,0
177195,Amos Omolo,31.0,178.0,74.0,UGA,0
177203,Shigekazu Omori,24.0,180.0,62.0,JPN,0
177372,Kyriakos Onisiforou,21.0,178.0,69.0,GRE,0
178392,Jun Osakada,26.0,177.0,67.0,JPN,0
178394,Jun Osakada,30.0,177.0,67.0,JPN,0
179181,Sergio Eliseo Ottolina,25.0,174.0,68.0,ITA,0
179318,Youba Mohamed Ould H'Mede,28.0,179.0,67.0,MTN,0
179357,Djibo Idrissa Ousseini,17.0,178.0,72.0,NIG,0
180844,Diego Armando Palomeque Echevarra,22.0,176.0,67.0,COL,0
182444,"Maxwell Lander ""Maxie"" Parks",25.0,188.0,78.0,USA,0
182579,Sanderlei Claro Parrela,19.0,194.0,77.0,BRA,0
182581,Sanderlei Claro Parrela,23.0,194.0,77.0,BRA,0
182639,Eli Burton Parsons,21.0,170.0,59.0,USA,0
183056,George Herbert Patching,25.0,184.0,77.0,RSA,0
183358,"Michael ""Mike"" Paul",27.0,185.0,77.0,TTO,0
183409,"Adriaan ""Adje"" Paulen",21.0,184.0,78.0,NED,0
183411,"Adriaan ""Adje"" Paulen",25.0,184.0,78.0,NED,0
184266,"Peder Alexander ""Alex"" Pedersen",21.0,182.0,70.0,NOR,0
184377,Ole Jacob Pedersen,23.0,183.0,70.0,NOR,0
184524,Geraldo Jos Pegado,25.0,185.0,73.0,BRA,0
184536,Arismendy Peguero Thicket,28.0,183.0,79.0,DOM,0
184845,Claro Alpe Pellosis,25.0,162.0,54.0,PHI,0
184860,David P. Peltier,20.0,180.0,70.0,BAR,0
185116,Jacques Pennewaert,24.0,184.0,76.0,BEL,0
185118,Jacques Pennewaert,28.0,184.0,76.0,BEL,0
186207,"Jakob ""Jacques"" Person",23.0,182.0,81.0,GER,0
186873,Alf Roland Petersson,27.0,190.0,80.0,SWE,0
187031,Stefanos Petrakis,23.0,174.0,62.0,GRE,0
187537,Sten Karl Leopold Pettersson,29.0,190.0,79.0,SWE,0
187575,Antonio Pettigrew,32.0,183.0,76.0,USA,0
187653,Derrick Peynado,20.0,183.0,73.0,JAM,0
188018,Joel Japheth Phillip,20.0,188.0,75.0,GRN,0
188063,Eric Phillips,17.0,174.0,68.0,VEN,0
188076,Hermon Edgar Phillips,24.0,178.0,68.0,USA,0
188140,Bobang Molebetsi Phiri,24.0,179.0,72.0,RSA,0
188141,Bobang Molebetsi Phiri,28.0,179.0,72.0,RSA,0
188660,Jerzy Pietrzyk,21.0,190.0,76.0,POL,0
188662,Jerzy Pietrzyk,25.0,190.0,76.0,POL,0
188811,Edmunds Plgs,25.0,172.0,67.0,URS,0
188848,Paul Henry Pilgrim,20.0,180.0,75.0,USA,0
188851,Paul Henry Pilgrim,22.0,180.0,75.0,USA,Gold
188853,Paul Henry Pilgrim,24.0,180.0,75.0,USA,0
188974,Melesio Pia Oregel,20.0,174.0,64.0,MEX,0
189003,Demetrius Rashad Pinder,23.0,178.0,70.0,BAH,0
189352,Phillip Pipersburg,29.0,168.0,63.0,BIZ,0
189566,Oscar Leonard Carl Pistorius,25.0,181.0,77.0,RSA,0
189827,Eutimio Evelio Planas del Ro,22.0,186.0,77.0,CUB,0
191186,Jorge Fidel Ponce,20.0,172.0,56.0,HON,0
192608,Rohan Handunpurage Pradeep Kumara,25.0,183.0,60.0,SRI,0
192610,Rohan Handunpurage Pradeep Kumara,29.0,183.0,60.0,SRI,0
193142,Leighton Priestley,21.0,180.0,66.0,JAM,0
193144,Leighton Priestley,25.0,180.0,66.0,JAM,0
193307,Meyer Prinstein,25.0,180.0,74.0,USA,0
193731,William Christopher Prout,22.0,180.0,76.0,USA,0
194076,Derek Charles Pugh,22.0,178.0,70.0,GBR,0
194932,Ebenezer Quaye Quartey,30.0,167.0,67.0,GHA,0
195000,"Yannick ""Yann"" Quentrec",22.0,190.0,75.0,FRA,0
195239,Renny Quow,20.0,170.0,66.0,TTO,0
195366,Marko Rai,28.0,168.0,62.0,YUG,0
195917,Franklin Benjamin Rahming,27.0,176.0,68.0,BAH,0
196429,Horace Patton Ramey,23.0,170.0,60.0,USA,0
196524,Manuel Ramrez Caicedo,26.0,172.0,60.0,COL,0
196689,"Joseph ""Joe"" Ramotshabi",18.0,180.0,70.0,BOT,0
196690,"Joseph ""Joe"" Ramotshabi",22.0,180.0,70.0,BOT,0
196710,Godfrey Lionel Rampling,23.0,185.0,75.0,GBR,0
196712,Godfrey Lionel Rampling,27.0,185.0,75.0,GBR,0
196854,Arsne Randriamahazomana,22.0,173.0,70.0,MAD,0
197062,Jean-Louis Rapnouil,30.0,174.0,69.0,FRA,0
197085,Marc Raquil,23.0,193.0,85.0,FRA,0
197311,Grard Rasquin,24.0,181.0,74.0,LUX,0
197313,Grard Rasquin,29.0,181.0,74.0,LUX,0
198161,Derek Anthony Redmond,26.0,183.0,70.0,GBR,0
198585,Charles Decker Reidpath,22.0,181.0,76.0,USA,Gold
199302,"Hans-Joachim ""Jochen"" Reske",20.0,184.0,80.0,GER,0
199598,"Harry Lee ""Butch"" Reynolds, Jr.",24.0,193.0,84.0,USA,Silver
199600,"Harry Lee ""Butch"" Reynolds, Jr.",32.0,193.0,84.0,USA,0
199623,Martin Edward Reynolds,23.0,185.0,77.0,GBR,0
199727,George Vincent Rhoden,21.0,178.0,68.0,JAM,0
199729,George Vincent Rhoden,25.0,178.0,68.0,JAM,Gold
199985,Danilson Ricciuli,21.0,175.0,76.0,GBS,0
200937,"Jan William Joslin ""John"" Rinkel",23.0,183.0,75.0,GBR,0
201318,"Francisco ""Frank"" Rivera Paniagua",24.0,175.0,59.0,PUR,0
201473,Syed Meshaq Rizvi,22.0,175.0,65.0,PAK,0
201651,"William ""Bill"" Roberts",24.0,173.0,70.0,GBR,0
201653,"William ""Bill"" Roberts",36.0,173.0,70.0,GBR,0
201672,Gil Roberts,27.0,188.0,82.0,USA,0
201832,Lawson Robertson,22.0,183.0,68.0,USA,0
201862,"Raymond Amos ""Ray"" Robertson",22.0,175.0,61.0,USA,0
201929,Barry Clyde Robinson,23.0,187.0,76.0,NZL,0
202181,"Kenneth James ""Ken"" Roche",22.0,188.0,84.0,AUS,0
202277,"Joseph ""Joe"" Rodan",33.0,185.0,75.0,FIJ,0
202278,"Joseph ""Joe"" Rodan",37.0,185.0,75.0,FIJ,0
202437,Jaime Nharimue Rodrigues,33.0,181.0,71.0,MOZ,0
202438,Jaime Nharimue Rodrigues,37.0,181.0,71.0,MOZ,0
202624,Ivn Rodrguez Padilla,19.0,174.0,63.0,PUR,0
202626,Ivn Rodrguez Padilla,23.0,174.0,63.0,PUR,0
203287,Francisco Rojas Soto,21.0,180.0,73.0,PAR,0
203516,Fabian Nicholas Rollins,24.0,188.0,77.0,BAR,0
204047,Martyn Joseph Rooney,21.0,198.0,81.0,GBR,0
204049,Martyn Joseph Rooney,25.0,198.0,81.0,GBR,0
204051,Martyn Joseph Rooney,29.0,198.0,81.0,GBR,0
204119,Argemiro Roque,28.0,180.0,64.0,BRA,0
204343,James Maher Rosenberger,25.0,186.0,73.0,USA,0
204443,Ak Hafiy Tajuddin Rositi,21.0,175.0,64.0,BRU,0
204514,Claude Murray Ross,18.0,170.0,67.0,ANZ,0
204913,Stephen Bartonjo Rotich,18.0,165.0,63.0,KEN,0
204915,Stephen Bartonjo Rotich,22.0,165.0,63.0,KEN,0
205498,Emmanuel Rubayiza,18.0,180.0,72.0,RWA,0
205690,Bevil Gordon d'Urban Rudd,24.0,180.0,77.0,RSA,Gold
205737,Daniel Matasi Rudisha,23.0,180.0,76.0,KEN,0
206164,Johannes Runge,26.0,185.0,75.0,GER,0
206167,Johannes Runge,28.0,185.0,75.0,GER,0
206377,Alonzo Russell,24.0,174.0,68.0,BAH,0
206489,Mathias Rusterholz,24.0,183.0,71.0,SUI,0
207031,Piotr Grzegorz Rysiukiewicz,22.0,174.0,65.0,POL,0
207033,Piotr Grzegorz Rysiukiewicz,26.0,174.0,65.0,POL,0
207141,Mohamed Saad Mubarak,23.0,164.0,64.0,KUW,0
207371,"Zvonimir ""Zvonko"" Sabolovi",25.0,185.0,68.0,YUG,0
207550,Muhammad Sadiq,26.0,183.0,88.0,PAK,0
207819,Nusrat Iqbal Sahi,22.0,175.0,82.0,PAK,0
207875,Moussa Said,21.0,180.0,64.0,ETH,0
208113,Muhammad Sajid Ahmad,24.0,182.0,72.0,PAK,0
208295,Aktawat Sakoolchan,19.0,179.0,64.0,THA,0
208653,John Edward Salisbury,22.0,180.0,70.0,GBR,0
209071,Ezra Kenyoke Sambu,25.0,175.0,70.0,KEN,0
209390,Antonio Snchez Muoz,20.0,181.0,72.0,ESP,0
209392,Antonio Snchez Muoz,24.0,181.0,72.0,ESP,0
209913,"Michael ""Mike"" Sands",23.0,183.0,76.0,BAH,0
209991,Felix Sandy,23.0,178.0,70.0,SLE,0
210010,Donald Eugene Sanford,25.0,196.0,81.0,ISR,0
210011,Donald Eugene Sanford,29.0,196.0,81.0,ISR,0
210021,Julius Sang,26.0,175.0,69.0,KEN,Bronze
210024,Lucas Kipkemboi Sang,25.0,188.0,72.0,KEN,0
210184,Carlos Yohelin Santa Ramrez,22.0,183.0,77.0,DOM,0
210185,Carlos Yohelin Santa Ramrez,26.0,183.0,77.0,DOM,0
210399,Lugueln Miguel Santos Aquino,18.0,173.0,58.0,DOM,Silver
210401,Lugueln Miguel Santos Aquino,22.0,173.0,58.0,DOM,0
210719,Samuel Sarkpa,23.0,175.0,64.0,LBR,0
211111,Mitsuhiro Sato,24.0,175.0,62.0,JPN,0
211317,Reinhold Saulmann,24.0,184.0,75.0,EST,0
211325,Brian Saunders,24.0,183.0,68.0,CAN,0
211327,Brian Saunders,32.0,183.0,68.0,CAN,0
211603,Savin Chem,28.0,171.0,67.0,CAM,0
211855,Habib Zareef Sayed,23.0,170.0,58.0,AFG,0
212251,Frank Schaffer,21.0,188.0,80.0,GDR,Bronze
212697,Francis Schewetta,28.0,180.0,72.0,FRA,0
212841,George Sylvester Schiller,19.0,175.0,66.0,USA,0
213071,Horst-Rdiger Schlske (Pfau-),26.0,177.0,65.0,FRG,0
213340,Reinhold Schmidt,25.0,178.0,69.0,GER,0
213480,Johannes Schmitt,21.0,179.0,67.0,GER,0
213929,Thomas Schnlebe,23.0,185.0,74.0,GDR,0
213931,Thomas Schnlebe,26.0,185.0,74.0,GER,0
214437,"Hermanus Ricardus Johannes ""Harry"" Schulting",24.0,192.0,79.0,NED,0
214462,Ingo Schultz,29.0,201.0,99.0,GER,0
216400,"Marcus ""Mark"" Senior",20.0,170.0,67.0,JAM,0
216930,Matija estak,27.0,193.0,82.0,SLO,0
216932,Matija estak,31.0,193.0,82.0,SLO,0
217221,Ahmed Shageef,17.0,166.0,65.0,MDV,0
217869,Frank Joseph Shea,26.0,181.0,73.0,USA,0
218177,"Melvin Winfield ""Mel"" Sheppard",28.0,177.0,67.0,USA,0
218961,Dennis Victor Shore,21.0,189.0,80.0,RSA,0
218964,Dennis Victor Shore,33.0,189.0,80.0,RSA,0
219242,Karabo Sibanda,18.0,185.0,70.0,BOT,0
219327,Antonio Siddi,29.0,177.0,73.0,ITA,0
219729,Oddur Sigursson,21.0,181.0,70.0,ISL,0
219730,Oddur Sigursson,25.0,181.0,70.0,ISL,0
219894,Foday Sillah,18.0,175.0,62.0,SLE,0
219913,Vasilios Sillis,23.0,181.0,73.0,GRE,0
219914,Vasilios Sillis,31.0,181.0,73.0,GRE,0
219955,Andrs Byron Silva Lemos,18.0,178.0,78.0,URU,0
219956,Andrs Byron Silva Lemos,22.0,178.0,78.0,URU,0
219996,Fernando da Cuha Silva,20.0,176.0,75.0,POR,0
220150,Odiya Silweya,29.0,172.0,70.0,MAW,0
220553,George Simon,25.0,180.0,75.0,TTO,0
220741,Brandon Allan Simpson,22.0,185.0,79.0,JAM,0
220941,Vanxay Sinebandith,23.0,170.0,60.0,LAO,0
221117,Milkha Singh,21.0,172.0,66.0,IND,0
221118,Milkha Singh,24.0,172.0,66.0,IND,0
221133,Paramjit Singh,29.0,187.0,73.0,IND,0
222012,Erwin Richard Skamrahl,26.0,178.0,67.0,FRG,0
222122,Pierre Skawinski,23.0,185.0,76.0,FRA,0
222169,Anton Skerritt,20.0,185.0,74.0,TTO,0
222171,Anton Skerritt,24.0,185.0,74.0,CAN,0
222203,Edwin Joseph Skinner,23.0,180.0,76.0,TTO,0
223103,Robert Harold Smallwood,21.0,186.0,79.0,USA,0
223614,John Walton Smith,22.0,188.0,83.0,USA,0
224090,Emil Snider,20.0,185.0,73.0,USA,0
224883,"Michael ""Mike"" Solomon",21.0,171.0,60.0,TTO,0
224885,"Michael ""Mike"" Solomon",25.0,171.0,60.0,TTO,0
224888,Steven Solomon,19.0,186.0,73.0,AUS,0
225064,Son Ju-Il,26.0,175.0,69.0,KOR,0
